entrez,gene_ID,cluster
10153,CEBPZ,1
10165,SLC25A13,1
10180,RBM6,1
10190,TXNDC9,1
10206,TRIM13,2
10221,TRIB1,3
10245,TIMM17B,1
10270,AKAP8,2
10273,STUB1,1
10276,NET1,3
10285,SMNDC1,1
10298,PAK4,3
10318,TNIP1,2
10329,RXYLT1,4
10362,HMG20B,2
10398,MYL9,2
10434,LYPLA1,3
10450,PPIE,1
10489,LRRC41,2
10491,CRTAP,2
10493,VAT1,3
10494,STK25,2
10513,APPBP2,3
10523,CHERP,1
10525,HYOU1,1
10557,RPP38,1
10589,DRAP1,2
10606,PAICS,1
10641,NPRL2,1
10652,YKT6,3
10668,CGRRF1,1
10670,RRAGA,1
10681,GNB5,3
10682,EBP,1
10695,CNPY3,1
10730,YME1L1,1
10732,TCFL5,1
10765,KDM5B,2
10776,ARPP19,2
10782,ZNF274,2
10797,MTHFD2,1
10810,WASF3,2
10845,CLPX,1
10857,PGRMC1,3
10892,MALT1,2
10898,CPSF4,1
10904,BLCAP,3
10915,TCERG1,1
10921,RNPS1,1
10953,TOMM34,2
10954,PDIA5,1
10962,MLLT11,1
10969,EBNA1BP2,1
10972,TMED10,3
10973,ASCC3,2
11000,SLC27A3,3
11007,CCDC85B,3
11011,TLK2,2
11031,RAB31,3
11041,B4GAT1,4
11044,TENT4A,4
11065,UBE2C,2
11073,TOPBP1,2
11098,PRSS23,3
11137,PWP1,1
11142,PKIG,3
11151,CORO1A,3
11157,LSM6,1
11168,PSIP1,2
11188,NISCH,3
11200,CHEK2,2
11230,PRAF2,3
11232,POLG2,1
11284,PNKP,2
11319,ECD,2
11325,DDX42,1
11344,TWF2,3
22809,ATF5,1
22823,MTF2,2
22827,PUF60,1
22883,CLSTN1,3
22887,FOXJ3,1
22889,KHDC4,4
22934,RPIA,1
23011,RAB21,3
23013,SPEN,3
23014,FBXO21,2
23038,WDTC1,1
23039,XPO7,1
23061,TBC1D9B,3
23076,RRP1B,1
23077,MYCBP2,2
23097,CDK19,2
23139,MAST2,2
23142,DCUN1D4,2
23200,ATP11B,3
23223,RRP12,1
23224,SYNE2,1
23271,CAMSAP2,2
23300,ATMIN,2
23326,USP22,2
23338,JADE2,2
23365,ARHGEF12,3
23386,NUDCD3,2
23410,SIRT3,1
23443,SLC35A3,1
23463,ICMT,3
23499,MACF1,2
23530,NNT,1
23588,KLHDC2,1
23597,ACOT9,3
23658,LSM5,1
23659,PLA2G15,3
23670,CEMIP2,4
24149,ZNF318,2
25793,FBXO7,2
25805,BAMBI,3
25825,BACE2,3
25874,MPC2,3
25932,CLIC4,3
25966,C2CD2,2
25976,TIPARP,1
25987,TSKU,3
26001,RNF167,2
26020,LRP10,3
26064,RAI14,3
26128,KIFBP,4
26136,TES,3
26227,PHGDH,1
26511,CHIC2,3
26520,TIMM9,1
27032,ATP2C1,2
27242,TNFRSF21,3
27244,SESN1,1
27336,HTATSF1,2
27346,TMEM97,3
28969,BZW2,1
29103,DNAJC15,1
29763,PACSIN3,1
29890,RBM15B,2
